match_id,tournament_id,tournament_name,league_band,scheduled_start_utc,scheduled_start_mountain,scheduled_start_prague,official_status,normalized_status,player_1_id,player_1_name,player_2_id,player_2_name,player_1_sets,player_2_sets,winner_player_id,winner_player_name,set_scores,completed_at_utc,calculated_finish_utc,calculated_finish_method,first_seen_at_utc,last_changed_at_utc,source_snapshot_id,source,data_quality,content_hash
267497,31732,Tournament A12. League 800-900,800-900,2026-02-15T00:00:03.445000+00:00,2026-02-14T17:00:03.445000-07:00,2026-02-15T01:00:03.445000+01:00,3,COMPLETED,715,Karel Brozik,1671,Karel Schopf,3,1,715,Karel Brozik,,,2026-02-15T00:16:10.060000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,ad804125b57d198d40f38fda4c63bde74e8a911a96c17ad115425d731736f9d4
267541,31737,Tournament A14. League 700-800,700-800,2026-02-15T00:00:07.462000+00:00,2026-02-14T17:00:07.462000-07:00,2026-02-15T01:00:07.462000+01:00,3,COMPLETED,822,Jaroslav Prokupek,1662,Martin Vizek,1,3,1662,Martin Vizek,,,2026-02-15T00:11:46.360000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,0763e96ae2104439e6924d199bf2de6c875edc9bcb4d769b8a4658c1408ce3f2
267617,31746,Tournament A17. League 600-700,600-700,2026-02-15T00:00:24.802000+00:00,2026-02-14T17:00:24.802000-07:00,2026-02-15T01:00:24.802000+01:00,3,COMPLETED,824,Milan Kolar,1690,Alexander Mikuska,0,3,1690,Alexander Mikuska,,,2026-02-15T00:17:18.884000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,af3966beec0cacaa9a49c2143e74f7f07c8ca342854fe9783e673c8decab4a6e
267542,31737,Tournament A14. League 700-800,700-800,2026-02-15T00:30:04.441000+00:00,2026-02-14T17:30:04.441000-07:00,2026-02-15T01:30:04.441000+01:00,3,COMPLETED,1418,Tomas Dousa,1673,Ba Hoang Tai Nguyen,1,3,1673,Ba Hoang Tai Nguyen,,,2026-02-15T00:46:45.638000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,5d8a0ed03da13875371bc5ede7d746d51ea3ede31b98353da1c28aa26f3ab470
267498,31732,Tournament A12. League 800-900,800-900,2026-02-15T00:30:08.324000+00:00,2026-02-14T17:30:08.324000-07:00,2026-02-15T01:30:08.324000+01:00,3,COMPLETED,1692,Petr Sebera,1665,Michal Hampl,0,3,1665,Michal Hampl,,,2026-02-15T00:42:32.542000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,1715c28a85c9516383d2cf32b3a5d874829c878a113925f50d844f052e4706d0
267618,31746,Tournament A17. League 600-700,600-700,2026-02-15T00:30:20.582000+00:00,2026-02-14T17:30:20.582000-07:00,2026-02-15T01:30:20.582000+01:00,3,COMPLETED,1607,David Horak,952,Marek Placek,2,3,952,Marek Placek,,,2026-02-15T00:48:33.747000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,ff39edba61d1fb5f16e4debb90ec058c7234b8707a98481ce9ca00adef905a91
267543,31737,Tournament A14. League 700-800,700-800,2026-02-15T01:00:04.325000+00:00,2026-02-14T18:00:04.325000-07:00,2026-02-15T02:00:04.325000+01:00,3,COMPLETED,1662,Martin Vizek,934,Jiri Plachy,2,3,934,Jiri Plachy,,,2026-02-15T01:23:12.602000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,8229f8d0a1d02c2da29f4690b44a47ce6327ac409538e047d338a18596898405
267499,31732,Tournament A12. League 800-900,800-900,2026-02-15T01:00:06.182000+00:00,2026-02-14T18:00:06.182000-07:00,2026-02-15T02:00:06.182000+01:00,3,COMPLETED,1671,Karel Schopf,873,Jan Sucharda,3,2,1671,Karel Schopf,,,2026-02-15T01:23:35.031000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,b63250ea8eb599c427ea89e71aadb365f2a1ad157185761f8afcc76ca24b951f
267619,31746,Tournament A17. League 600-700,600-700,2026-02-15T01:00:21.735000+00:00,2026-02-14T18:00:21.735000-07:00,2026-02-15T02:00:21.735000+01:00,3,COMPLETED,1690,Alexander Mikuska,1434,Frantisek Briza,0,3,1434,Frantisek Briza,,,2026-02-15T01:11:37.366000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,2c5e6e575e1d6beb4ccee241de75c553508e5ccb9b6896bb0ab83d22b3fca6ff
267544,31737,Tournament A14. League 700-800,700-800,2026-02-15T01:30:02.232000+00:00,2026-02-14T18:30:02.232000-07:00,2026-02-15T02:30:02.232000+01:00,3,COMPLETED,822,Jaroslav Prokupek,1673,Ba Hoang Tai Nguyen,3,1,822,Jaroslav Prokupek,,,2026-02-15T01:46:35.328000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:46:56.383788+00:00,2026-08-15T13:46:56.383788+00:00,3126d9d23ef7b7284efe4eb073602e237ad23e65028bbc138cde222647bfc2c3,api.league-pro.com,OK,bf20c627b732f60bda0affe22d790c7c7c4ab9fdad016946ec9e5f64864ed4d1
