match_id,tournament_id,tournament_name,league_band,scheduled_start_utc,scheduled_start_mountain,scheduled_start_prague,official_status,normalized_status,player_1_id,player_1_name,player_2_id,player_2_name,player_1_sets,player_2_sets,winner_player_id,winner_player_name,set_scores,completed_at_utc,calculated_finish_utc,calculated_finish_method,first_seen_at_utc,last_changed_at_utc,source_snapshot_id,source,data_quality,content_hash
250021,29682,Tournament A12. League 700-800,700-800,2025-11-18T00:00:09.140000+00:00,2025-11-17T17:00:09.140000-07:00,2025-11-18T01:00:09.140000+01:00,3,COMPLETED,934,Jiri Plachy,1421,Richard Krejci,2,3,1421,Richard Krejci,,,2025-11-18T00:26:18.684000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,29033f37d678c9f40389c68cc52a5f9ebe12e6e3bfa214e3c6d469c7a182297c
250109,29692,Tournament A17. League 700-800,700-800,2025-11-18T00:00:10.237000+00:00,2025-11-17T17:00:10.237000-07:00,2025-11-18T01:00:10.237000+01:00,3,COMPLETED,1677,Jaroslav Bares,830,Jakub Hradecky,3,2,1677,Jaroslav Bares,,,2025-11-18T00:25:31.009000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,cf41117ba6628ae52a4209018e8858a4c92906bc69c921b3399c8c4fca2d0077
250065,29687,Tournament A14. League 900-1000,900-1000,2025-11-18T00:00:13.708000+00:00,2025-11-17T17:00:13.708000-07:00,2025-11-18T01:00:13.708000+01:00,3,COMPLETED,864,Tomas Postelt,879,Jiri Ruzicka,0,3,879,Jiri Ruzicka,,,2025-11-18T00:16:15.009000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,f6542e96bb2fd9c98fadb5d8a0a4fe6f175dfa94ad4175cb793f8203d07e94d7
250110,29692,Tournament A17. League 700-800,700-800,2025-11-18T00:30:05.211000+00:00,2025-11-17T17:30:05.211000-07:00,2025-11-18T01:30:05.211000+01:00,3,COMPLETED,1563,Martin Sychra,1649,Martin Sopko,0,3,1649,Martin Sopko,,,2025-11-18T00:42:03.686000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,6a55463f0f9ee8882e3fddc8ce8484bdf12c7e782d64c3009d6c14126c9b041c
250022,29682,Tournament A12. League 700-800,700-800,2025-11-18T00:30:14.005000+00:00,2025-11-17T17:30:14.005000-07:00,2025-11-18T01:30:14.005000+01:00,3,COMPLETED,925,Vladimir Cermak,863,Daniel Tuma,3,2,925,Vladimir Cermak,,,2025-11-18T00:48:41.271000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,e7c494cd8269cad7cdb4d29ae62fef0a84dc59d257458c4d66bb46fb34c1a0ea
250066,29687,Tournament A14. League 900-1000,900-1000,2025-11-18T00:30:19.400000+00:00,2025-11-17T17:30:19.400000-07:00,2025-11-18T01:30:19.400000+01:00,3,COMPLETED,1664,Jakub Vales,1571,Dan Volhejn,1,3,1571,Dan Volhejn,,,2025-11-18T00:42:53.623000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,ac098c265130d85be0b3ec639f37fd7f40c59256a2ebb718914f49176ff727bc
250111,29692,Tournament A17. League 700-800,700-800,2025-11-18T01:00:07.404000+00:00,2025-11-17T18:00:07.404000-07:00,2025-11-18T02:00:07.404000+01:00,3,COMPLETED,830,Jakub Hradecky,1539,Jakub Tazler,0,3,1539,Jakub Tazler,,,2025-11-18T01:11:14.298000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,354c069bd5479f225aed2aacf25a0b74f331a27dc88d57e0dae5977779703c92
250023,29682,Tournament A12. League 700-800,700-800,2025-11-18T01:00:07.670000+00:00,2025-11-17T18:00:07.670000-07:00,2025-11-18T02:00:07.670000+01:00,3,COMPLETED,1421,Richard Krejci,1143,Marek Kostal,3,0,1421,Richard Krejci,,,2025-11-18T01:13:23.426000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,c466b8f240c7a65470de356611eae31f8c98a46492d719b100f8e20cf641ab36
250067,29687,Tournament A14. League 900-1000,900-1000,2025-11-18T01:00:08.068000+00:00,2025-11-17T18:00:08.068000-07:00,2025-11-18T02:00:08.068000+01:00,3,COMPLETED,879,Jiri Ruzicka,1114,Michal Vavrecka,2,3,1114,Michal Vavrecka,,,2025-11-18T01:21:32.467000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,bde9a3770426ae6e0d2f4f584013e16144b192fdebfa3af8c163949409f2d96f
250112,29692,Tournament A17. League 700-800,700-800,2025-11-18T01:30:01.675000+00:00,2025-11-17T18:30:01.675000-07:00,2025-11-18T02:30:01.675000+01:00,3,COMPLETED,1677,Jaroslav Bares,1649,Martin Sopko,3,1,1677,Jaroslav Bares,,,2025-11-18T01:47:24.279000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,8fc86bf7ea9430d27a3d13385f9ae7a2fc4430470dba56382acf37b0730176ea
250068,29687,Tournament A14. League 900-1000,900-1000,2025-11-18T01:30:09.137000+00:00,2025-11-17T18:30:09.137000-07:00,2025-11-18T02:30:09.137000+01:00,3,COMPLETED,864,Tomas Postelt,1571,Dan Volhejn,3,0,864,Tomas Postelt,,,2025-11-18T01:41:31.305000+00:00,SCHEDULED_START_PLUS_DURATION,2026-08-15T13:44:03.139375+00:00,2026-08-15T13:44:03.139375+00:00,646ea58ec3267078e6245d0985ab28df07774f38495e90032bf6c20325bf3352,api.league-pro.com,OK,7dcc07982ab350a300575d4f9292c347fb45e50ad854320a80d7d8b89b4e3319
