match_id,tournament_id,tournament_name,league_band,scheduled_start_utc,scheduled_start_mountain,scheduled_start_prague,official_status,normalized_status,player_1_id,player_1_name,player_2_id,player_2_name,player_1_sets,player_2_sets,winner_player_id,winner_player_name,set_scores,completed_at_utc,first_seen_at_utc,last_seen_at_utc,source_snapshot_id,source,data_quality,content_hash
296102,35087,Tournament A17. League 600-700,600-700,2026-07-09T01:35:03.627000+00:00,2026-07-08T19:35:03.627000-06:00,2026-07-09T03:35:03.627000+02:00,3,COMPLETED,1260,Pavel Fojt,1425,Petr Zmuda,3,2,1260,Pavel Fojt,,2026-07-09T01:54:27.874000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,2767c8728f39cc3b46ded82ef022584c33468b15db6be74e8e46d35f94225b26
295967,35071,Tournament A12. League 600-700,600-700,2026-07-09T02:00:08.878000+00:00,2026-07-08T20:00:08.878000-06:00,2026-07-09T04:00:08.878000+02:00,3,COMPLETED,805,Ondrej Kucirek,798,Radek Bartunek,3,1,805,Ondrej Kucirek,,2026-07-09T02:20:11.183000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,8822decdb70365343c8d5f142f545a750fc724f693f2cb4059a44e2f319b64b0
296011,35076,Tournament A14. League 800-900,800-900,2026-07-09T02:00:12.554000+00:00,2026-07-08T20:00:12.554000-06:00,2026-07-09T04:00:12.554000+02:00,3,COMPLETED,685,Ales Bayer,1692,Petr Sebera,2,3,1692,Petr Sebera,,2026-07-09T02:18:25.523000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,a869db29d80e48b93fc96e04221701d7b6ccc9b4b5a172f8a3b57f7dcc1a0b1f
296103,35087,Tournament A17. League 600-700,600-700,2026-07-09T02:00:20.250000+00:00,2026-07-08T20:00:20.250000-06:00,2026-07-09T04:00:20.250000+02:00,3,COMPLETED,934,Jiri Plachy,822,Jaroslav Prokupek,3,2,934,Jiri Plachy,,2026-07-09T02:20:43.355000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,98c3ba47c2eb4b117b89496aa716e214ad12dace7d1ba4691362e23918bb7ddd
296104,35087,Tournament A17. League 600-700,600-700,2026-07-09T02:30:03.729000+00:00,2026-07-08T20:30:03.729000-06:00,2026-07-09T04:30:03.729000+02:00,3,COMPLETED,1425,Petr Zmuda,1679,Jiri Dedek,2,3,1679,Jiri Dedek,,2026-07-09T02:59:27.065000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,90e5f0bfd65f10634f71e923928fe167b4e39b959b7e8d589fa5e85d578f4501
296012,35076,Tournament A14. League 800-900,800-900,2026-07-09T02:30:03.741000+00:00,2026-07-08T20:30:03.741000-06:00,2026-07-09T04:30:03.741000+02:00,3,COMPLETED,1649,Martin Sopko,715,Karel Brozik,3,1,1649,Martin Sopko,,2026-07-09T02:44:02.422000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,0f398d6f315c3b76481c6929cf2b9b4bc90d8119cd43e73c3481501da03cf967
295968,35071,Tournament A12. League 600-700,600-700,2026-07-09T02:30:13.574000+00:00,2026-07-08T20:30:13.574000-06:00,2026-07-09T04:30:13.574000+02:00,3,COMPLETED,1690,Alexander Mikuska,1078,Kyryl Darin,1,3,1078,Kyryl Darin,,2026-07-09T02:45:28.688000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,3be02c11cefd3c3689015c16f284876dbf5a8eb04129cdf7dd3e3fc205df2516
296013,35076,Tournament A14. League 800-900,800-900,2026-07-09T03:00:05.321000+00:00,2026-07-08T21:00:05.321000-06:00,2026-07-09T05:00:05.321000+02:00,3,COMPLETED,1649,Martin Sopko,925,Vladimir Cermak,1,3,925,Vladimir Cermak,,2026-07-09T03:24:51.928000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,959268b82b4289b020e8437a798ffdd87d00776da8175d23184186f6bd59b07a
295969,35071,Tournament A12. League 600-700,600-700,2026-07-09T03:00:13.724000+00:00,2026-07-08T21:00:13.724000-06:00,2026-07-09T05:00:13.724000+02:00,3,COMPLETED,805,Ondrej Kucirek,1344,Petr Picek,3,0,805,Ondrej Kucirek,,2026-07-09T03:13:00.623000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,0f7330d80dc4f53067304c7fe0405e3a67d9ef934a09cceb80f4276737c92935
296105,35087,Tournament A17. League 600-700,600-700,2026-07-09T03:08:08.815000+00:00,2026-07-08T21:08:08.815000-06:00,2026-07-09T05:08:08.815000+02:00,3,COMPLETED,934,Jiri Plachy,1260,Pavel Fojt,3,1,934,Jiri Plachy,,2026-07-09T03:21:52.261000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,b46b8476bb40dd5024a6aa6dd21c185109efa6c39e4915dd4fd58c860a4a1f39
296106,35087,Tournament A17. League 600-700,600-700,2026-07-09T03:29:58.246000+00:00,2026-07-08T21:29:58.246000-06:00,2026-07-09T05:29:58.246000+02:00,3,COMPLETED,1679,Jiri Dedek,822,Jaroslav Prokupek,3,2,1679,Jiri Dedek,,2026-07-09T03:51:08.465000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,70e9840a035938dda1a0b098e47e8b5ea01ed9c6f344cae4514a5011a3084db6
295970,35071,Tournament A12. League 600-700,600-700,2026-07-09T03:30:02.615000+00:00,2026-07-08T21:30:02.615000-06:00,2026-07-09T05:30:02.615000+02:00,3,COMPLETED,1078,Kyryl Darin,1690,Alexander Mikuska,0,3,1690,Alexander Mikuska,,2026-07-09T03:41:18.074000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,30273e168ccc35df68dbf038c238cbf85cc70c4571be756fe2e88ebabaedf421
296014,35076,Tournament A14. League 800-900,800-900,2026-07-09T03:30:10.439000+00:00,2026-07-08T21:30:10.439000-06:00,2026-07-09T05:30:10.439000+02:00,3,COMPLETED,1692,Petr Sebera,685,Ales Bayer,3,1,1692,Petr Sebera,,2026-07-09T03:44:49.337000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,89b715c50335cb5c45a65a887db93c0ee35f010ae876b4550fab9ab26f26e55a
296123,35090,Tournament A12. League 500-550,500-550,2026-07-09T06:00:01.960000+00:00,2026-07-09T00:00:01.960000-06:00,2026-07-09T08:00:01.960000+02:00,3,COMPLETED,1217,Martin Stefek,1377,Mihail Trinta,2,3,1377,Mihail Trinta,,2026-07-09T06:22:15.875000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,caf23d60de6682a145861672579b05fe8cdc1d7b719702abf01c5545cc80cc02
296235,35103,Tournament A17. League 900-1000,900-1000,2026-07-09T06:00:07.891000+00:00,2026-07-09T00:00:07.891000-06:00,2026-07-09T08:00:07.891000+02:00,3,COMPLETED,1668,Oleksandr Kolisnyk,1582,Viktor Vejvoda,3,2,1668,Oleksandr Kolisnyk,,2026-07-09T06:19:09.579000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,3b810ecf3fdf5faf2392f18a00afe8a4f5567a598104ca3d5f3bc98490911a74
296211,35100,Tournament A16. League 500-550,500-550,2026-07-09T06:00:10.655000+00:00,2026-07-09T00:00:10.655000-06:00,2026-07-09T08:00:10.655000+02:00,3,COMPLETED,1844,Miroslav Kowolowski,1760,David Mikula,2,3,1760,David Mikula,,2026-07-09T06:21:41.117000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,59774e7cd8fc361a9c022d3357a3f31ef1789415c5ecba230b74e7427c301e96
296167,35095,Tournament A14. League 600-700,600-700,2026-07-09T06:00:16.687000+00:00,2026-07-09T00:00:16.687000-06:00,2026-07-09T08:00:16.687000+02:00,3,COMPLETED,1272,Jakub Stolfa,824,Milan Kolar,0,3,824,Milan Kolar,,2026-07-09T06:14:17.188000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,2eeceb29af504b82625f854b52b3ceb4a8459ad9707042837bbcedb24390999e
296275,35108,Tournament A18. League 350-400,350-400,2026-07-09T06:00:16.757000+00:00,2026-07-09T00:00:16.757000-06:00,2026-07-09T08:00:16.757000+02:00,3,COMPLETED,1814,Miroslav Stolba,1738,Ivan Kolenciak,1,3,1738,Ivan Kolenciak,,2026-07-09T06:20:35.664000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,1c570e51520f1c3283aa71411d96edcc7bc7e6544228986954ed75ecdd1341aa
296124,35090,Tournament A12. League 500-550,500-550,2026-07-09T06:30:05.913000+00:00,2026-07-09T00:30:05.913000-06:00,2026-07-09T08:30:05.913000+02:00,3,COMPLETED,1635,Julius Didi,825,Milan Regner,1,3,825,Milan Regner,,2026-07-09T06:50:50.624000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,585c61433bdda39ac7e6cb696500ca32943d0951fba2a88d5c41120d00753e74
