match_id,tournament_id,tournament_name,league_band,scheduled_start_utc,scheduled_start_mountain,scheduled_start_prague,official_status,normalized_status,player_1_id,player_1_name,player_2_id,player_2_name,player_1_sets,player_2_sets,winner_player_id,winner_player_name,set_scores,completed_at_utc,calculated_finish_utc,calculated_finish_method,first_seen_at_utc,last_changed_at_utc,source_snapshot_id,source,data_quality,content_hash
295612,35030,Tournament A14. League 900-1000,900-1000,2026-07-06T22:30:03.213000+00:00,2026-07-06T16:30:03.213000-06:00,2026-07-07T00:30:03.213000+02:00,3,COMPLETED,1752,Vojtech Svechota,1665,Michal Hampl,3,1,1752,Vojtech Svechota,,,2026-07-06T22:50:12.622000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,1c914cb17a5119783e1453d057190ccb6691a2ef217b3468a8f1d52b195b47ce
295568,35025,Tournament A12. League 450-500,450-500,2026-07-06T22:30:07.082000+00:00,2026-07-06T16:30:07.082000-06:00,2026-07-07T00:30:07.082000+02:00,3,COMPLETED,886,Vaclav Hruska,1585,Pavel Stuchlik,2,3,1585,Pavel Stuchlik,,,2026-07-06T22:49:57.993000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,8b072560e159ea69201e001cd9177f39528473fdda69e956d09adf64068912b1
295688,35039,Tournament A17. League 700-800,700-800,2026-07-06T22:30:13.098000+00:00,2026-07-06T16:30:13.098000-06:00,2026-07-07T00:30:13.098000+02:00,3,COMPLETED,1872,Jan Trefny,1403,Ales Hlawatschke,0,3,1403,Ales Hlawatschke,,,2026-07-06T22:40:50.365000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,08fab23afefded09b71a98f8848294fcf5ea5340d839e80835dd9b6ed1598b3a
295569,35025,Tournament A12. League 450-500,450-500,2026-07-06T23:00:07.073000+00:00,2026-07-06T17:00:07.073000-06:00,2026-07-07T01:00:07.073000+02:00,3,COMPLETED,1635,Julius Didi,942,Jaroslav Strnad,3,0,1635,Julius Didi,,,2026-07-06T23:15:57.018000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,f13a34b7aaef837e8656bffdae1e89aa2b5cbc4d3f18d4f6ebb15984462ff511
295613,35030,Tournament A14. League 900-1000,900-1000,2026-07-06T23:00:09.736000+00:00,2026-07-06T17:00:09.736000-06:00,2026-07-07T01:00:09.736000+02:00,3,COMPLETED,1128,Radim Urbaniec,879,Jiri Ruzicka,3,1,1128,Radim Urbaniec,,,2026-07-06T23:16:17.030000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,7aa7e5d6c3973bbb52ff048fa61b21ffbef4adeec332e5e17f6957269deff7e6
295689,35039,Tournament A17. League 700-800,700-800,2026-07-06T23:00:12.197000+00:00,2026-07-06T17:00:12.197000-06:00,2026-07-07T01:00:12.197000+02:00,3,COMPLETED,853,Patrik Pycha,1609,Marek Chlebecek,3,0,853,Patrik Pycha,,,2026-07-06T23:14:29.091000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,882eecbfd3cbbc60ff4095a4d9f4c5465a1646bd84a6b26808904a46da8d35bb
295614,35030,Tournament A14. League 900-1000,900-1000,2026-07-06T23:30:00.701000+00:00,2026-07-06T17:30:00.701000-06:00,2026-07-07T01:30:00.701000+02:00,3,COMPLETED,684,Martin Huk,1752,Vojtech Svechota,3,2,684,Martin Huk,,,2026-07-06T23:48:48.726000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,bfab906ff5edb76070a72c703f04a91c8f5ba688f0c8cd19e5e205e282c76571
295570,35025,Tournament A12. League 450-500,450-500,2026-07-06T23:30:07.833000+00:00,2026-07-06T17:30:07.833000-06:00,2026-07-07T01:30:07.833000+02:00,3,COMPLETED,1374,Josef Pelikan,886,Vaclav Hruska,1,3,886,Vaclav Hruska,,,2026-07-06T23:45:33.119000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,c52bcb12b680206f731162961f9123321ad5c1f64e3f5e547752d94e0b23e2c5
295690,35039,Tournament A17. League 700-800,700-800,2026-07-06T23:30:16.221000+00:00,2026-07-06T17:30:16.221000-06:00,2026-07-07T01:30:16.221000+02:00,3,COMPLETED,1716,Ondrej Kysely,1872,Jan Trefny,0,3,1872,Jan Trefny,,,2026-07-06T23:42:26.244000+00:00,SCHEDULED_START_PLUS_DURATION,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,d308a05752aa987656163286e18361fa5a837ede0e63bcb14e090dd1c63a7d7d
